,type,name,length_km,toll,lat,lon,arg_min,volume
210,Major Highway,69,45,0,"[30.041823206862382 30.041823206862382 30.00882791154218
 29.968886238259834 29.913315214562658 29.894212675166752
 29.861217379846554 29.812592734111522 29.791753600225082
 29.744865548980588 None]","[-94.14428284434175 -94.08350203717296 -94.0435603638906
 -94.01751144653255 -93.94978426140162 -93.94457447793002
 -93.96541361181646 -93.967150206307 -93.96020382834485 -93.92199874955304
 None]",5059.0,2475.2258064516127
211,Major Highway,101,68,0,"[40.44055101619678 40.442287610687316 40.47007312253591 40.49959522887503
 40.51869776827094 40.543010091138456 40.567322414005965 40.58989814238295
 40.596844520345094 40.61073727626939 40.624630032193686 40.71840613468267
 40.76355759143663 40.79307969777575 40.80697245370005 40.82781158758649
 40.862543477397224 40.883382611283665 40.892065583736354
 40.91985109558494 None]","[-123.99981532565053 -124.0362838099518 -124.09359142813952
 -124.10748418406381 -124.14742585734616 -124.1543722353083
 -124.14395266836509 -124.14916245183669 -124.16305520776099
 -124.17521136919474 -124.21167985349602 -124.2012602865528
 -124.18042115266636 -124.15263564081776 -124.09359142813952
 -124.07796207772468 -124.06580591629093 -124.06406932180039
 -124.06754251078146 -124.09359142813952 None]",4420.0,13550.064516129032
212,Secondary Highway,50,214,0,"[39.119002608898256 39.11552941991721 39.1051098529739 39.086007313578136
 39.077324341125404 39.014806939466155 39.00265077803243 38.99223121108912
 38.9800750496554 38.97486526618377 38.96097251025941 38.954026132297315
 38.875879380223125 38.8637232187894 38.83941089592196 38.827254734488065
 38.78557646671521 38.78036668324353 38.78036668324353 38.75779095486672
 38.77342030528149 38.76300073833835 38.76300073833835 38.74563479343277
 38.740425009961314 38.73174203750864 38.74216160445178 38.730005443018
 38.72653225403701 38.735215226489686 38.68659058075474 38.66575144686817
 38.657068474415496 38.65533187992503 38.65880506890608 38.641439124000726
 38.641439124000726 38.627546368076366 38.584131505812934
 38.56155577743607 38.54939961600218 38.55808258845502 38.55634599396444
 None]","[-119.7712077411934 -119.86672043817293 -119.89624254451206
 -119.91881827288898 -119.94313059575654 -119.94660378473759
 -119.95528675719027 -119.95528675719027 -119.95181356820922
 -119.93792081228491 -119.93792081228491 -119.94834037922811
 -120.00391140292527 -120.02822372579283 -120.02301394232126
 -120.0264871313023 -120.16888787952627 -120.19667339137487
 -120.29913246631656 -120.35470349001372 -120.43979662005
 -120.53009953355792 -120.57177780133088 -120.6151926635942
 -120.65687093136717 -120.66902709280095 -120.72633471098868
 -120.75412022283723 -120.77495935672368 -120.81837421898712
 -120.91215032147608 -120.93993583332468 -120.99550685702184
 -121.02850215234207 -121.04934128622841 -121.11533187686888
 -121.19521522343354 -121.23515689671592 -121.31851343226168
 -121.3740844559589 -121.426182290675 -121.45917758599518
 -121.47307034191948 None]",2691.0,42769.5
213,Secondary Highway,120,163,0,"[37.86743392779052 37.85476181978748 37.83392268590104 37.8182933354862
 37.82002992997674 37.83913246937264 37.8182933354862 37.82002992997674
 37.8321860914105 37.82871290242942 37.81482014650513 37.81482014650513
 37.80787376854298 37.77835166220385 37.76272231178903 37.75403933933634
 37.75056615035527 37.745356366883655 37.78356144567547 37.78703463465654
 37.806137174052445 37.82176652446728 37.8512886308064 37.85302522529694
 37.847815441825325 37.83913246937264 37.816556740995665 37.80440057956191
 37.806137174052445 37.83565928039157 37.85302522529694 37.8703911702023
 37.877337548164455 37.87212776469284 37.877337548164455 37.87907414265499
 37.8842839261266 37.89470349306982 37.93464516635217 37.94506473329539
 37.950274516767 37.948537922276465 37.929435382880555 37.94680132778593
 None]","[-120.43064384669609 -120.41374770269202 -120.34254732858001
 -120.31997160020303 -120.271346954468 -120.22966868669512
 -120.13589258420613 -120.08379474949002 -119.99696502496319
 -119.97612589107675 -119.93271102881333 -119.8840863830783
 -119.870193627154 -119.85803746572024 -119.84240811530542
 -119.81635919794736 -119.78336390262716 -119.77641752466502
 -119.73647585138266 -119.72084650096784 -119.70869033953407
 -119.70348055606247 -119.66527547727065 -119.61317764255456
 -119.59407510315864 -119.58018234723436 -119.57497256376274
 -119.56281640232899 -119.54718705191415 -119.45341094942516
 -119.43778159901034 -119.42909862655765 -119.41520587063336
 -119.36484463040779 -119.34747868550242 -119.27975150037149
 -119.26585874444719 -119.25370258301344 -119.25022939403236
 -119.23460004361753 -119.21549750422163 -119.19986815380679
 -119.15992648052445 -119.11303842927995 None]",3391.0,1356.6774193548388
214,Secondary Highway,50,478,0,"[39.47500447945831 39.47674107394885 39.46805810149617 39.410750483308455
 39.3985943218747 39.3655990265545 39.30655481387625 39.29613524693303
 39.264876546103366 39.275296113046586 39.287452274480344
 39.29092546346141 39.28397908549927 39.29266205795195 39.32739394776269
 39.37428199900718 39.44895556210027 39.48542404640154 39.544468259079785
 39.58093674338106 39.57746355439999 39.534048692136565 39.50799977477852
 39.46979469598671 39.46805810149617 39.49584361334476 39.492370424363685
 39.492370424363685 39.47500447945831 39.47847766843939 39.42290664474221
 39.40727729432738 39.39512113289362 39.3847015659504 39.40727729432738
 39.45763853455295 39.462848318024555 39.51147296375959 39.52710231417442
 39.573990365418915 39.58788312134321 39.56183420398516 39.544468259079785
 39.50799977477852 39.48889723538261 39.46805810149617 39.42985302270436
 39.38296497145986 39.37254540451664 39.369072215535574 39.389911349422015
 39.39338453840308 39.40554069983684 39.41596026678007 39.40554069983684
 39.3847015659504 39.39164794391255 39.38817475493148 39.37428199900718
 39.34649648715859 39.34302329817752 39.35344286512074 39.34823308164913
 39.3517062706302 39.379491782478794 39.41943345576114 39.421170050251675
 39.40901388881792 39.40206751085577 39.38643816044094 39.32739394776269
 39.29613524693303 39.275296113046586 39.25445697916014 39.24403741221692
 39.24403741221692 39.25098379017907 None]","[-118.77961228709688 -118.69451915706058 -118.6806264011363
 -118.65457748377824 -118.64242132234448 -118.56601116476087
 -118.48960100717724 -118.45139592838542 -118.3888785267261
 -118.32115134159517 -118.15791145948471 -118.05371579005251
 -118.02940346718499 -117.95820309307298 -117.92520779775278
 -117.86269039609346 -117.82969510077325 -117.80711937239627
 -117.68903094703977 -117.55704976575898 -117.52926425391038
 -117.47369323021321 -117.40075626161067 -117.3226095095365
 -117.28093124176362 -117.10900838720048 -117.1003254147478
 -117.05517395799384 -117.02565185165471 -117.00828590674935
 -116.968344233467 -116.94576850509002 -116.91277320976982
 -116.85372899709157 -116.77558224501742 -116.71480143784862
 -116.65054744169876 -116.3883216736277 -116.2702332482712
 -116.16777417332953 -116.11393974412289 -116.00279769672854
 -115.97848537386102 -115.95764623997458 -115.9402802950692
 -115.94375348405028 -115.9159679722017 -115.91770456669222
 -115.89339224382472 -115.8742897044288 -115.71452301129942
 -115.7041034443562 -115.69542047190352 -115.67458133801708
 -115.58080523552809 -115.49223891651071 -115.47660956609587
 -115.45229724322836 -115.41930194790817 -115.38283346360689
 -115.36373092421098 -115.35852114073938 -115.33594541236239
 -115.32031606194757 -115.27516460519361 -115.17617871923301
 -115.11713450655476 -115.08066602225348 -115.07545623878188
 -115.08066602225348 -115.0007826756888 -114.96778738036859
 -114.95215802995376 -114.91047976218088 -114.90353338421873
 -114.89311381727552 -114.8740112778796 None]",2700.0,13521.933333333332
215,Secondary Highway,6,78,0,"[38.05447018619921 38.07009953661404 38.092675264991016 38.1343535327639
 38.143036505216585 38.13609012725444 38.122197371330145 38.11004120989639
 38.06315315865189 38.0492604027276 38.021474890879006 38.02842126884116
 None]","[-117.20973086765161 -117.24446275746234 -117.32781929300812
 -117.44243452938355 -117.49800555308073 -117.54663019881575
 -117.57788889964542 -117.59525484455078 -117.6334599233426
 -117.65777224621011 -117.78280704952876 -117.88179293548936 None]",3340.0,1066.8064516129032
216,Secondary Highway,6,58,0,"[37.36330557896556 37.38935449632361 37.398037468776295 37.44318892553025
 37.49528676024636 37.58385307926373 37.67068280379058 37.764458906279565
 37.80961036303352 37.85302522529694 37.877337548164455 37.898176682050895
 None]","[-118.39582490468825 -118.38366874325449 -118.33851728650053
 -118.33330750302893 -118.34893685344376 -118.38366874325449
 -118.40450787714094 -118.45660571185704 -118.47049846778134
 -118.47744484574348 -118.46702527880026 -118.43055679449898 None]",2552.0,6349.193548387097
217,Major Highway,10,101,0,"[32.82037439172127 32.73007147821336 32.67797364349725 32.65887110410135
 32.62934899776222 32.552938840178605 32.5008410054625 32.28203009965486
 32.257717776787345 32.196936969618555 None]","[-111.68562379325402 -111.51370093869089 -111.42339802518298
 -111.39908570231546 -111.37130019046687 -111.31572916676969
 -111.26884111552519 -111.00314215847307 -110.98751280805824
 -110.97014686315286 None]",3268.0,2536.9666666666667
222,Secondary Highway,62,183,0,"[32.71965191127015 32.71791531677968 32.726598289232356 32.726598289232356
 32.695339588402646 32.693602993912066 32.697076182893284
 32.61024645836636 32.54772905670711 32.53209970629217 32.52515332833008
 32.512997166896355 32.526889922820544 32.52515332833008
 32.511260572405774 32.450479765236935 32.41574787542618 None]","[-102.6431762810289 -102.75779151740431 -103.06343214773875
 -103.09990063204003 -103.12421295490759 -103.17110100615207
 -103.37428256154487 -103.56530795550395 -103.74244059353862
 -103.79453842825473 -103.8848413417627 -103.95604171587462
 -104.00987614508136 -104.0393982514205 -104.07239354674061
 -104.16269646024858 -104.22695045639841 None]",187.0,1319.7
223,Secondary Highway,85,151,0,"[44.684787951068756 44.7594615141619 44.83239848276446 44.868866967065685
 44.89838907340476 44.915755018310165 44.931384368724935 44.94527712464924
 44.962643069554645 44.995638364874765 45.03731663264779 45.08941446736378
 45.362059802378155 45.391581908717285 45.41589423158473
 45.572187735733166 45.619075786977646 45.64686129882614
 45.697222539051836 45.72674464539074 45.76321312969213 45.80141820848394
 45.853516043200045 45.87956496055813 45.928189606293074
 45.945555551198595 45.9542385236511 45.97160446855651 46.17999580742105
 None]","[-103.85184604644246 -103.85184604644246 -103.84316307398973
 -103.79801161723577 -103.74591378251972 -103.70249892025629
 -103.6382449241064 -103.6069862232768 -103.58441049489977
 -103.56357136101337 -103.55488838856064 -103.55141519957965
 -103.55141519957965 -103.56009817203233 -103.54967860508901
 -103.55315179407012 -103.54273222712692 -103.48542460893924
 -103.48542460893924 -103.44548293565686 -103.41248764033668
 -103.38991191195964 -103.37428256154487 -103.37949234501644
 -103.37949234501644 -103.39512169543133 -103.40727785686511
 -103.41248764033668 -103.41248764033668 None]",2183.0,956.2142857142856
224,Secondary Highway,54,141,0,"[38.573711938869714 38.516404320682 38.490355403323946 38.43304778513623
 38.377476761439056 38.367057194495835 38.3653206000053 38.358374222043146
 38.295856820383825 38.266334714044696 38.22639304076235 38.17950498951786
 38.15171947766927 38.13609012725444 38.11698758785853 38.092675264991016
 38.0492604027276 38.021474890879006 37.99889916250203 37.98500640657774
 37.96416727269129 37.94159154431431 37.9172792214468 37.929435382880555
 37.929435382880555 None]","[-92.18366766452569 -92.23229231026072 -92.26702420007146
 -92.30349268437273 -92.38337603093743 -92.40421516482387
 -92.48583510587909 -92.54661591304789 -92.58482099183969
 -92.5900307753113 -92.61086990919775 -92.60739672021667
 -92.61086990919775 -92.62823585410311 -92.66991412187599
 -92.68554347229083 -92.6942264447435 -92.72548514557317
 -92.77758298028928 -92.87135908277827 -92.94429605138082
 -92.98771091364424 -93.00855004753068 -93.11100912247234
 -93.20999500843294 None]",4252.0,694.1481481481482
225,Major Highway,40,87,0,"[35.486046934695274 35.4825737457142 35.50341287960064 35.506886068581714
 35.49820309612903 35.463471206318296 35.45999801733722 35.449578450394
 35.41137337160219 35.3835878597536 35.38011467077253 35.39053423771575
 35.41137337160219 35.42700272201702 35.4686809897899 None]","[-95.17581997172061 -95.10635619209914 -95.06815111330732
 -95.03515581798713 -95.00216052266693 -94.91012101466848
 -94.77119345542553 -94.74340794357694 -94.70172967580406
 -94.63921227414474 -94.61663654576776 -94.55238254961789
 -94.49507493143018 -94.46728941958159 -94.44471369120461 None]",3813.0,8734.333333333334
226,Major Highway,75,123,0,"[32.849896498060396 32.9158870887008 32.940199411568315 33.0009802187371
 33.035712108547834 33.11038567164092 33.19374220718669 33.25625960884601
 33.297937876618896 33.370874845221444 33.39692376257949
 33.440338624842916 33.502856026502236 33.52369516038868 33.55148067223727
 33.58794915653854 33.596632128991224 33.627890829820885 33.66435931412216
 33.68346185351807 33.69735460944236 33.739032877215244 None]","[-83.67782784987641 -83.73166227908305 -83.78202351930862
 -83.84975070443956 -83.92616086202317 -84.01125399205948
 -84.06335182677559 -84.08592755515257 -84.11371306700114
 -84.1397619843592 -84.15539133477404 -84.20401598050906
 -84.24048446481034 -84.25958700420624 -84.30126527197912
 -84.37767542956274 -84.38635840201543 -84.40025115793972
 -84.39504137446811 -84.39677796895865 -84.4037243469208
 -84.38809499650597 None]",2089.0,3881.633333333333
227,Major Highway,95,28,0,"[26.94373863574472 26.886431017557005 26.822177021407143 26.77876215914372
 26.678039678692585 None]","[-80.16817038450152 -80.13517508918132 -80.10912617182328
 -80.10391638835166 -80.09870660488005 None]",4799.0,3359.5666666666666
228,Major Highway,95,53,0,"[27.39872639226536 27.353574935511404 27.3014771007953 27.254589049550805
 27.21291078177792 27.091349167440345 27.072246628044443 27.02362198230941
 26.96284117514062 26.94460949129293 None]","[-80.3939276682713 -80.37308853438486 -80.37308853438486
 -80.35919577846057 -80.34182983355521 -80.25326351453782
 -80.24284394759461 -80.23242438065138 -80.17511676246367
 -80.17027034859991 None]",4954.0,11840.322033898305
229,Secondary Highway,27,239,0,"[28.0846812160274 28.065578676631496 28.043002948254518 28.016954030896464
 27.968329385161432 27.89886560553996 27.909285172483184 27.91623155044533
 27.911021766973718 27.89886560553996 27.904075389011574
 27.897129011049426 27.853714148786004 27.822455447956344
 27.772094207730774 27.726942750976818 27.685264483203934
 27.634903242978368 27.61059092011085 27.593224975205484
 27.563702868866358 27.504658656188106 27.478609738830055
 27.476873144339518 27.461243793924687 27.44735103800039 27.39351660879375
 27.336208990606035 27.317106451210133 27.303213695285837
 27.235486510154903 27.211174187287387 27.17123251400504 27.03404154925263
 26.96978755310277 26.92637269083935 26.900323773481297 26.8673284781611
 26.836069777331435 26.8343331828409 26.827386804878753 26.79612810404909
 26.77355237567211 26.75792302525728 26.75271324178567 26.75271324178567
 26.745766863823523 26.7023520015601 26.684986056654733 26.672829895220975
 26.660898790259438 None]","[-81.9690188711882 -81.95686270975443 -81.95338952077336
 -81.91865763096263 -81.88045255217081 -81.85440363481277
 -81.7623641268143 -81.73284202047519 -81.68942715821177
 -81.64601229594834 -81.60954381164707 -81.59912424470386
 -81.58523148877956 -81.59044127225117 -81.59044127225117
 -81.55570938244043 -81.56091916591204 -81.52618727610131
 -81.51750430364862 -81.51924089813916 -81.51229452017701
 -81.49145538629057 -81.47235284689467 -81.44456733504607
 -81.42546479565017 -81.42025501217856 -81.41504522870694
 -81.38552312236783 -81.36121079950031 -81.36989377195299
 -81.33342528765172 -81.32995209867065 -81.33168869316118
 -81.34037166561387 -81.31432274825582 -81.31084955927474
 -81.23964918516273 -81.2188100512763 -81.1910245394277 -81.09030205897656
 -81.08161908652389 -81.08509227550496 -81.07988249203335
 -81.06772633059958 -81.04341400773207 -80.93574514931879
 -80.90101325950806 -80.83502266886765 -80.76208570026512
 -80.73950997188813 -80.71310574141998 None]",2558.0,1079.5645161290322
230,Major Highway,FT,70,1,"[28.5445151925992 28.54140556703858 28.550088539491263 28.565717889906097
 28.616079130131663 28.63865485850864 28.65428420892347 28.675123342809915
 28.74285052794085 28.794948362656953 28.826207063486617
 28.857465764316277 None]","[-81.54516991991194 -81.58870467776063 -81.66511483534426
 -81.68769056372123 -81.73631520945627 -81.79362282764397
 -81.82140833949256 -81.8509304458317 -81.92386741443424
 -81.99333119405571 -82.02806308386644 -82.08884389103522 None]",4995.0,7973.607142857143
